arrival_id,crop_id,district_id,market_id,variety,arrival_tonnes,min_price_rs_quintal,max_price_rs_quintal,modal_price_rs_quintal,arrival_date
85,85,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
86,86,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
87,87,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
88,88,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
89,89,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
90,90,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
91,91,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
92,92,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
93,93,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
94,94,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
95,95,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
96,96,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
97,97,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
98,98,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
99,99,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
100,100,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
101,101,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
102,102,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
103,103,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
104,104,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
105,105,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
106,106,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
107,107,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
108,108,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
109,109,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
110,110,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
111,111,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
112,112,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
113,113,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
114,114,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
115,115,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
116,116,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
117,117,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
118,118,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
119,119,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
120,120,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
121,121,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
122,122,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
123,123,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
124,124,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
125,125,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
126,126,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
127,127,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
128,128,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
129,129,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
130,130,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
131,131,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
132,132,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
133,133,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
134,134,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
135,135,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
136,136,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
137,137,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
138,138,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
139,139,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
140,140,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
141,141,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
142,142,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
143,143,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
144,144,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
145,145,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
146,146,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
147,147,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
148,148,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
149,149,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
150,150,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
151,151,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
152,152,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
153,153,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
154,154,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
155,155,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
156,156,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
157,157,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
158,158,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
159,159,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
160,160,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
161,161,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
162,162,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
163,163,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
164,164,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
165,165,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
166,166,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
167,167,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
168,168,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
169,169,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
170,170,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
171,171,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
172,172,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
173,173,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
174,174,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
175,175,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
176,176,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
177,177,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
178,178,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
179,179,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
180,180,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
181,181,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
182,182,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
183,183,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
184,184,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
185,185,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
186,186,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
187,187,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
188,188,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
189,189,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
190,190,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
191,191,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
192,192,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
193,193,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
194,194,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
195,195,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
196,196,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
197,197,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
198,198,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
199,199,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
200,200,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
201,201,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
202,202,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
203,203,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
204,204,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
205,205,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
206,206,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
207,207,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
208,208,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
209,209,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
210,210,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
211,211,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
212,212,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
213,213,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
214,214,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
215,215,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
216,216,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
217,217,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
218,218,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
219,219,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
220,220,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
221,221,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
222,222,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
223,223,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
224,224,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
225,225,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
226,226,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
227,227,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
228,228,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
229,229,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
230,230,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
231,231,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
232,232,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
233,233,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
234,234,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
235,235,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
236,236,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
237,237,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
238,238,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
239,239,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
240,240,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
241,241,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
242,242,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
243,243,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
244,244,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
245,245,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
246,246,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
247,247,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
248,248,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
249,249,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
250,250,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
251,251,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
252,252,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
253,253,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
254,254,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
255,255,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
256,256,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
257,257,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
258,258,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
259,259,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
260,260,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
261,261,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
262,262,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
263,263,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
264,264,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
265,265,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
266,266,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
267,267,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
268,268,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
269,269,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
270,270,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
271,271,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
272,272,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
273,273,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
274,274,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
275,275,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
276,276,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
277,277,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
278,278,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
279,279,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
280,280,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
281,281,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
282,282,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
283,283,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
284,284,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
285,285,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
286,286,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
287,287,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
288,288,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
289,289,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
290,290,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
291,291,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
292,292,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
293,293,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
294,294,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
295,295,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
296,296,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
297,297,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
298,298,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
299,299,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
300,300,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
301,301,Surat,Surat,Other,1.5,4000,7500,5750,7/13/2022
302,302,Sonipat,Ganaur,Yam (Ratalu),0.45,2500,3000,2800,7/13/2022
303,303,Hyderabad,Erragadda(Rythu Bazar),Other,3,2300,2300,2300,7/13/2022
304,304,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,0.4,2300,2300,2300,7/13/2022
